id	author_id	instance_id	centralLatitude	centralLongitude	areaCoordinates	DATE_FORMAT(createdAt,'_%Y_%m_%d_%H_%i_%s')	address
3	11	iremember	40.408939757571	-3.705235719681		_2015_12_09_12_56_07	{"streetNumber":"25","streetName":"Calle de Embajadores","postalCode":"28012","locality":"Madrid","subLocality":null,"country":"ES"}
15	35	NULL	45.464339300000	9.201213100000		_2016_01_26_15_30_58	{"streetNumber":"12","streetName":"Via Chiossetto","postalCode":"20122","locality":"Milano","subLocality":null,"country":"IT"}
16	36	iremember	40.427935300000	-3.664920100000		_2016_02_01_10_13_08	{"streetNumber":"22B","streetName":"Calle del Marqu\\u00e9s de Mond\\u00e9jar","postalCode":"28028","locality":"Madrid","subLocality":null,"country":"ES"}
17	33	NULL	51.929011435145	19.161572456360		_2016_02_17_11_41_55	{"streetNumber":null,"streetName":null,"postalCode":"95-045","locality":"Go\\u0142aszyny","subLocality":null,"country":"PL"}
18	7	NULL	44.061242900000	12.565257600000		_2016_02_18_22_08_02	{"streetNumber":"3","streetName":"Piazzetta San Martino","postalCode":"47921","locality":"Rimini","subLocality":null,"country":"IT"}
19	33	NULL	44.061794205363	12.566342353821		_2016_02_19_15_08_05	{"streetNumber":"8","streetName":"Corso Papa Giovanni XXIII","postalCode":"47921","locality":"Rimini","subLocality":null,"country":"IT"}
20	33	NULL	44.073403779084	12.577586174011		_2016_02_19_17_04_17	{"streetNumber":"12","streetName":"Lungomare Claudio Tintori","postalCode":"47921","locality":"Rimini","subLocality":null,"country":"IT"}
21	43	NULL	44.057176400000	12.568421600000		_2016_02_20_23_56_47	{"streetNumber":"65","streetName":"Vicolo Santa Chiara","postalCode":"47921","locality":"Rimini","subLocality":null,"country":"IT"}
22	43	NULL	44.059345600000	12.590508100000		_2016_02_21_00_06_16	{"streetNumber":"7","streetName":"Piazzale Benedetto Croce","postalCode":"47921","locality":"Rimini","subLocality":null,"country":"IT"}
23	7	NULL	44.030388000000	12.618105000000		_2016_02_21_00_13_44	{"streetNumber":"2","streetName":"Viale Madrid","postalCode":"47924","locality":"Rimini","subLocality":null,"country":"IT"}
