id	gate_id	author_id	title	coverImage	body	rangeStartDate	rangeEndDate	links	category	attachments	slug
3	3	11	Panaderia De Rodas	b4b9f70adad524739450ef44b3e35a57.jpg	"<p>This is the first place where my father slept when he arrived in <b>Madrid</b>.<br><span style=""line-height: 1.5em; font-family: 'Helvetica Neue', Arial, sans-serif;"">It was a bakery, his cousin worked there and the owner did not know that he was hiding in the closet.<br></span><span style=""line-height: 1.5em; font-family: 'Helvetica Neue', Arial, sans-serif;"">The next morning my mother came to buy bread and so they met for the first time.<br>Pop was in Spain for not even a day...</span></p><p><img src=""http://api.theland.me/uploads/user/11/attachment/343c1e2ee2a8c8e45c15040031305723.jpeg""><span style=""line-height: 1.5em; font-family: 'Helvetica Neue', Arial, sans-serif;""><br></span></p>"	1980-04-18	1980-04-19	[]	once	[]	panaderia-de-rodas
18	15	35	Casa Mia	NULL	<p>Ecco casa</p>	2016-01-25	2016-01-26	[]	now	[]	casa-mia
19	16	36	a day in the zoo	NULL	<p>Selina and Marian are enjoying the zoo&nbsp;</p>	2016-01-02	2016-01-03	[]	now	[]	a-day-in-the-zoo
20	17	33	test link & embed video	54ff34638ca06c91955c5389b2b49894.jpg	"<p>https://youtu.be/rrgKYhlO1j4</p><p><br></p><p><br></p><p>&lt;iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/rrgKYhlO1j4"" frameborder=""0"" allowfullscreen&gt;&lt;/iframe&gt;<br></p><p><br></p><p><br></p><p><br></p>"	1996-02-10	1996-03-10	[]	once	[]	test-link-embed-video
21	18	7	Che poi cos'è, precisamente, che amavo di quell'estate?	52ec9bb9dbe5d82964f4d5b60b1f8574.jpg	"<p><img src=""https://api.theland.me/uploads/user/7/attachment/e81e9bf6216e785387e503682b25a646.jpeg"" style=""font-family: 'Helvetica Neue', Arial, sans-serif; line-height: 30px;""></p><p><p><span style=""line-height: 1.5em; font-family: 'Helvetica Neue', Arial, sans-serif;"">Se ci penso i ricordi virano in giallo come le vecchie polaroid, i contorni sfumano un po’ e resta solo il bello, così dolce.&nbsp;</span><span style=""line-height: 1.5em; font-family: 'Helvetica Neue', Arial, sans-serif;"">Le urla scalmanate dell’ultimo giorno di scuola, quando suonava la campanella e si correva fuori al grido di: “È finitaaaaaaaaa!“. Il mio primo concerto. I Depeche.&nbsp;</span></p></p><p><span style=""line-height: 1.5em; font-family: 'Helvetica Neue', Arial, sans-serif;""><img src=""https://api.theland.me/uploads/user/7/attachment/f9261fa72bfd249d0a71e1418149bc09.jpeg""><br></span><span style=""font-family: 'Helvetica Neue', Arial, sans-serif; line-height: 1.5em;"">Tornare a casa a piedi, da solo, con le chiavi in tasca (fantascienza! Roba che oggi, se la mamma/la tata/la nonna non recuperano il pupo direttamente dalla mano della maestra puoi dire ciaociao alla patria podestà).<br></span><span style=""line-height: 1.5em; font-family: 'Helvetica Neue', Arial, sans-serif;"">Fermarsi in edicola per comprare le figurine Panini dei Puffi, e in panetteria per la focaccia e l’uovo kinder, che è&nbsp;</span><span style=""line-height: 1.5em; font-family: 'Helvetica Neue', Arial, sans-serif;"">ora di fare merenda. Inizia BimBumBam, con Mila&amp;Shiro.<br></span><span style=""font-family: 'Helvetica Neue', Arial, sans-serif; line-height: 1.5em;""><a href=""https://www.facebook.com/La-locanda-di-san-martino-440859205955596/""><b>E la pizza scontata da San Martino</b></a>, con i tavolini fuori, le candele e i wurstel!<br></span><span style=""font-family: 'Helvetica Neue', Arial, sans-serif; line-height: 1.5em;"">La sfilata del circo in paese, con gli elefanti, Moira Orfei, i pagliacci e i cavalli bianchi tutti bardati. Andare allo spettacolo della sera e applaudire fino a spelarsi i palmi delle mani. Salire sull’elefantino durante l’intervallo e scoprire che non è per nulla morbido, anzi: punge come un’istrice, che ci ha delle setole durissime e tu hai su i pantaloncini corti, quelli rossi con l’ancora blu. Ecco svelato il motivo per cui mi ritrovo con quella faccia contrita (occhio spalancato e labbra strette) stampata da quasi trent’anni sulla classica foto di rito.<br>Ogni volta che la vedo rido. E Bianca e Bernie al cinema all’aperto, con la libellula Evinrude. Senza pop-corn che nonsiamomicagliamericani ma con la Bomboniera della Algida. D</span><span style=""font-family: 'Helvetica Neue', Arial, sans-serif; line-height: 1.5em;"">a affrontare con parsimonia, che sono solo sei pezzi.</span><br></p><p><img src=""https://api.theland.me/uploads/user/7/attachment/263fd87ab7c1ebd892968a59de4773d7.png""><span style=""font-family: 'Helvetica Neue', Arial, sans-serif; line-height: 1.5em;""><br></span></p><p><img src=""https://api.theland.me/uploads/user/7/attachment/45f8401531fb063acd4f58d1b48cf887.jpeg""><br></p>"	1986-07-12	1986-07-24	[]	once	[]	che-poi-cos-e-precisamente-che-amavo-di-quell-estate
22	19	33	Valentini Elettrodomestici	fd5a1fb279e2f76cc93b0f8e0f5b56cc.jpg	<p>Nel 1955 il televisore arrivò anche a casa mia.</p><p>Fummo fra i primi ad avere un apparecchio televisivo. Acquistato da Valentini elettrodomestici che aveva il negozio in Corso Umberto I° (oggi Corso Giovanni XXIII°), quasi di fronte all’attuale negozio di dolciumi Vulpitta. In città era uno dei pochi negozi di quel genere. Gli elettrodomestici in vendita consistevano soprattutto in apparecchi radio, radiogrammofoni, giradischi, cucine a gas, cucine elettriche, aspirapolvere, i primi frigoriferi e la vera novità: i televisori.</p><p>Era considerato un lusso possedere un televisore e fu un grosso sacrificio economico quell’acquisto, per mio padre.</p><p>La maggior parte delle persone andava al bar o presso qualche circolo per vedere i programmi di maggior interesse.</p><p>Vittorio Antonio, mio fratello maggiore, due anni ci dividevano, aveva il cuore malato per i postumi di febbri reumatiche. Aveva un soffio al cuore trasformatosi poi in scompenso cardiaco. Aveva 14 anni e non era riuscito, a causa della malattia iniziata nel 1949 e che lo costringeva spesso a letto, a terminare la Va classe elementare e neppure la preparazione alla Prima Comunione che ricevette, in una rara pausa della malattia, nel 1950 da Don Calandrini, a Roma nella Basilica di San Pietro, durante il pellegrinaggio organizzato dalle ACLI riminesi per l’anno Santo e al quale partecipò l’intera nostra famiglia.</p><p>Col tempo le sue condizioni peggiorarono; i cardiologi e il medico di famiglia, dott. Aulo Donati, gli imposero riposo assoluto ed evitare qualunque sforzo e divieto di camminare. Quando si sentiva un po’ meglio, per fargli prendere un po’ d’aria e cercare di distrarlo, il babbo lo prendeva in braccio e con l’auto, una Fiat Balilla 1100, acquistata di seconda mano, lo portava a spasso.</p><p>Quindi il televisore era arrivato per rendergli le lunghe giornate passate nel letto o sul sofà, più leggere e meno noiose. Fra i suoi passatempi c’era la lettura e la collezione di francobolli che l’amico Giancarlo Morolli (poi diventato un giudice internazionale di filatelia e colonna della ditta Bolaffi) gli portava dal locale circolo filatelico cittadino.</p><p>Le trasmissioni televisive cominciavano alle 17.30 con la “TV dei Ragazzi” che durava 1 ora e mezza, poi si interrompevano per riprendere alle 20,45 e andavano avanti fino alle 23,00. La domenica i programmi cominciavano alle ore 11,00. La pubblicità non esisteva, solo dal 1957 inizierà con “Carosello”.</p><p>Il televisore, un Philips, era grosso, di legno scuro con una cornice di legno più chiaro; era un 17 pollici, il canale era unico e non esisteva il telecomando. Il ripetitore delle onde tv più vicino era a Monte Venda, vicino a Verona e la ricezione del segnale era scarso e in condizioni di meteo perturbato con molto sfarfallìo. A volte si vedeva e non si sentiva, o viceversa. Ricordo di un Festival della Canzone Italiana (San Remo); la stanza era piena di persone (i vicini di casa), abbiamo seguito il programma col televisore, cercando la migliore sintonizzazione delle immagini che però escludeva l’audio e con la radio per l’ascolto delle canzoni. E con la combinazione dei due apparecchi accesi, riuscimmo a goderci il Festival.</p><p>L’antenna televisiva, posta sul tetto, era leggerissima, di alluminio e veniva letteralmente mangiata dalla salsedine marina e doveva essere sostituita ogni anno.</p><p>Ricordo attorno al letto di Vittorio noi di famiglia e anche qualche vicino di casa in occasione di trasmissioni che suscitavano più interesse, quali quiz (Duecento al secondo, Lascia e raddoppia, il Musichiere) o anche avvenimenti sportivi.</p><p>Vittorio seguiva con particolare interesse la rubrica religiosa “Sguardo sul mondo” condotta, con estrema naturalezza e simpatia dal frate francescano Padre Mariano e “Una risposta per voi”, programma diretto dal professor Armando Cutolo, uomo di cultura e critico teatrale, discepolo del filosofo Benedetto Croce, che con un linguaggio semplice condito da una simpaticissima “verve” napoletana rispondeva a domande e curiosità che gli venivano proposte. Poi gli sceneggiati televisivi tratti con grande fedeltà dai classici della letteratura.</p><p>All’epoca, per il cuore, non esistevano le operazioni o applicazioni di protesi o ancora meglio i trapianti dei nostri tempi e anche se sotto il controllo dei migliori cardiologi (ricordo il prof. Dagnini a Bologna e il prof. Poppi ad Ancona) che con le loro parcelle hanno prosciugato le finanze di famiglia e la costante presenza del medico di famiglia, fra l’altro amico d’infanzia del babbo, Vittorio si spense improvvisamente nella sera del 25 febbraio 1958, all’età di 17 anni, dopo 9 anni di sofferta malattia. Improvvisamente ma non inaspettatamente: i nostri genitori già da molti mesi erano stati avvisati che per Vittorio non c’era più alcuna speranza di vita.</p>	1955-01-01	1955-12-31	[]	once	[]	valentini-elettrodomestici
23	20	33	Il Chiosco	ed81603f16c4f29d6effccd07f2e858e.jpg	"<p><img src=""https://api.theland.me/uploads/user/33/attachment/4d2bc851f5ee92fd27ffe8f1d566201e.jpeg""><br></p><p>&nbsp;L'estate riminese di un gruppo di ragazzi svedesi <a href=""https://www.facebook.com/riminisparita/videos/924498967593427/"">in questo superotto</a>&nbsp;</p><p><br></p>"	1965-07-01	1965-07-31	[]	once	[]	il-chiosco
24	20	43	La pída	4b1078e42b08e411b00914d2b2e595bc.jpg	"<p>La pída cóta cumè una vòlta suora la róla, si sarmùint, e trepi e la tègia ad tèracota che ila fèva a Montetiffi!<br><span style=""line-height: 1.5em; font-family: 'Helvetica Neue', Arial, sans-serif;"">Um pèr ad vèda ancora la mi nòna!!</span></p><p><img src=""https://api.theland.me/uploads/user/43/attachment/823ab8545ae7163ca86b52ddd6dda956.jpeg""><span style=""line-height: 1.5em; font-family: 'Helvetica Neue', Arial, sans-serif;""><br></span></p>"	1972-01-01	1976-12-31	[]	once	[]	la-pida
25	21	43	Pane, zucchero e vino	82554326e62fb95301b8542ded2056b4.jpg	"<p>are la merenda a metà pomeriggio per noi bambini era una prassi irrinunciabile.</p><p>Allora abitavo in via Monte Titano e frequentavo la scuola elementare dalla Maestre Pie dell’Addolorata, in via Santa Chiara. La scuola era a tempo pieno: rincasavo verso le quattro del pomeriggio. Ricordo la mamma che mi aspettava con la merenda pronta.</p><p>Nelle giornate fredde ci accoglieva (me e i miei fratelli) con le patate americane cotte nell’acqua, ancora bollenti (la patata dolce che per quei tempi era una novità). Con quelle ci riscaldavamo le mani e lo stomaco.</p><p>Ma la merenda che mi è rimasta nella memoria e che è sempre stata per me la più gradita era: pane, vino e zucchero. Mamma tagliava in due una pagnottina di pane comune simile alle odierne mantovane, con un cucchiaio le bagnava con il vino rosso, che in altra epoca ho conosciuto chiamarsi sangiovese, e le cospargeva coprendole di buon zucchero.</p><p><img src=""https://api.theland.me/uploads/user/43/attachment/d7ba8d4f1f53d15bb84e005f17032dfd.jpeg""><br></p><p>Sotto i denti, il morbido pane, lo scricchiare dello zucchero e il sapore del vino creavano un perfetto connubio; anche oggi qualche volta ripeto quel rito, ma non riesco più a ritrovare il piacere di quei tempi; forse perchè oggi non riesco più ad assaporare la gioia di quei semplici sapori contaminati dal moderno modo di vivere.</p><p>Quella merenda è stata per me e i miei fratelli il primo approccio col vino.</p><p>Ricordo il nonno che a tavola diceva: dai un goz ad vein, ma che burdel.</p><p>Penso che la mamma, prima di bagnare il pane, allungasse il vino con un po’ d’acqua.&nbsp;</p>"	1984-04-12	1984-08-30	[]	once	[]	pane-zucchero-e-vino
26	22	43	“scusi ma lei non è il figlio del bagnino?”	060d5f6622cf2b3ac4bff27b70c125a1.jpg	"<p><img src=""https://api.theland.me/uploads/user/43/attachment/0a575b2683213230bb045addc976a2fd.jpeg""><p>Ebbene sì, sono figlio del bagnino poi divenuto fratello del bagnino quando mio fratello è subentrato nell’attività. Ancora oggi, a 59 anni suonati, mi capita di dover rispondere a vecchi clienti reincontrati per caso, conosciuti cinquant’anni fa, “scusi ma lei non è il figlio del bagnino?”</p><p>Il che la dice lunga sul ruolo del bagnino che rimane un vero e proprio tratto identitario della riminesità.<br>Che piaccia o no!</p><p>Negli anni 50 la parte sexy spettava all’uomo con gli slip copripube, scosciati, uniti sui fianchi da un cordellino distrattamente rallentato…le donne, col costume in pudica tinta unita, di LANA! Poi sostituito da quello di filanca, con un doppio riporto che garantiva la totale copertura del ventre e della peluria più intima e selvaggia. Eh sì perché i peli, allora, sul petto degli uomini o altrove nelle donne, stimolavano i sensori della sensualità.</p><p>Erano anni, quelli 50, in cui si usciva dalla guerra e lo spirito di conservazione era più forte di quello critico e/o creativo. Difficile percepire come impresa qualcosa che avveniva sulla sabbia. Ricordo uno dei bar di Marina Centro, una struttura in legno che i titolari, desolati per i mancati guadagni, non riuscivano a rivendere. I turisti si avvicinavano per qualche aranciata, i bambini per un bicchiere d’acqua, il resto veniva da casa trasportato con borse cariche di frutta, panini, ciotole e “cartocci”.</p><p>Non c’era ancora la concezione del “settore” coordinato per cui ombrelloni e sedie sdraio, da subito ribattezzate “sdrai”, variopinti nei colori, venivano rimpiazzati quando i rammendi e le riparazioni effettuate direttamente dal bagnino “non tenevano più”.</p><p>Sulla gara dei clienti per accaparrarsi quelli nuovi, dirò poi. Idem per poter avere l’ombrellone in prima fila, il primo status simbol del dopoguerra riminese.</p><p>Sui birri, i zanza molto si è detto in “Falce, martello e lasagne”. Ma in spiaggia nasce il latin lover di casa nostra.</p><p>E’ il bagnino il primo vero simbolo del madeinitaly e, nel nostro caso, del madeinrimini. Abbronzatura ineguagliabile, fisico possente, muscoli alimentati dal sollevamento di ombrelloni, sdrai, pedane, paletti. In piedi sul moscone, petto in fuori, braccia ai remi, appariva il dio Nettuno, con una carica erotica che sprigionava dall’odore inconfondibile della pelle, misto di salsedine, ambra solare e sudore fresco.<br><br><img src=""https://api.theland.me/uploads/user/43/attachment/b385161012d6e771713657379ab2dc5d.jpeg""><br></p></p>"	1951-08-12	NULL	[]	once	[]	scusi-ma-lei-non-e-il-figlio-del-bagnino
